# Audited 199 route files
file	methods	imports	tenant_calls	platform_calls	weddingId	orgId	slug	helper	runWithTenant	risk
src/app/api/music/route.ts	PUT,DELETE	db,tenantDb	2	0	12	0	2	0	0	OK_TENANT_SCOPED
src/app/api/onboarding/create-wedding/route.ts	NONE	db	0	7	14	0	15	2	0	LOW_PLATFORM_AUDITLOG
src/app/api/onboarding/leads/[id]/convert/route.ts	POST	db	0	4	8	0	2	2	0	LOW_PLATFORM_AUDITLOG
src/app/api/onboarding/leads/[id]/route.ts	PATCH	db	0	2	0	0	0	2	0	LOW_PLATFORM
src/app/api/onboarding/leads/route.ts	POST,GET	db	0	4	0	0	0	2	0	LOW_PLATFORM
src/app/api/onboarding/publish/route.ts	POST	db	0	2	13	0	7	0	0	LOW_PLATFORM
src/app/api/org/[slug]/credits/route.ts	GET	db	0	5	4	5	7	0	0	LOW_PLATFORM
src/app/api/org/[slug]/members/[memberId]/route.ts	PATCH,DELETE	db	0	8	2	4	20	0	0	LOW_PLATFORM_AUDITLOG
src/app/api/org/[slug]/members/route.ts	GET,POST	db	0	9	1	4	20	0	0	LOW_PLATFORM_AUDITLOG
src/app/api/org/[slug]/quotas/route.ts	GET	db	0	2	0	4	5	0	0	LOW_PLATFORM
src/app/api/org/[slug]/route.ts	GET,PATCH	db	2	9	1	8	24	0	0	MEDIUM_TENANT_MODEL_WITH_RAW_CLIENT_MANUAL_WED
src/app/api/org/[slug]/weddings/route.ts	GET,POST	db	0	8	1	5	31	0	0	LOW_PLATFORM_AUDITLOG
src/app/api/org/login/route.ts	POST	db	0	4	13	9	9	0	0	LOW_PLATFORM
src/app/api/org/signup/route.ts	GET,POST	db	0	13	9	9	50	0	0	LOW_PLATFORM_AUDITLOG
src/app/api/payment/verify/route.ts	GET,POST	db	0	7	10	0	0	0	0	LOW_PLATFORM_AUDITLOG
src/app/api/plans/route.ts	GET	db	0	1	0	0	0	0	0	LOW_PLATFORM
src/app/api/platform/2fa/disable/route.ts	POST	db	0	2	1	0	0	2	0	LOW_PLATFORM
src/app/api/platform/2fa/login/route.ts	POST	db	0	2	6	0	0	0	0	LOW_PLATFORM
src/app/api/platform/2fa/setup/route.ts	POST	db	0	2	0	0	0	3	0	LOW_PLATFORM
